,time,temp,plant,plant_number,location
211,2025-06-16 04:00:00,23.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
212,2025-06-16 05:00:00,23.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
213,2025-06-16 06:00:00,22.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
214,2025-06-16 07:00:00,30.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
215,2025-06-16 08:00:00,39.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
216,2025-06-16 09:00:00,43.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
217,2025-06-16 10:00:00,45.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
218,2025-06-16 11:00:00,48.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
219,2025-06-16 12:00:00,49.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
220,2025-06-16 13:00:00,50.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
221,2025-06-16 14:00:00,48.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
222,2025-06-16 15:00:00,48.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
223,2025-06-16 16:00:00,46.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
224,2025-06-16 17:00:00,46.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
225,2025-06-16 18:00:00,45.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
226,2025-06-16 19:00:00,41.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
227,2025-06-16 20:00:00,37.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
228,2025-06-16 21:00:00,35.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
229,2025-06-16 22:00:00,34.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
230,2025-06-16 23:00:00,33.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
231,2025-06-17 00:00:00,31.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
232,2025-06-17 01:00:00,30.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
233,2025-06-17 02:00:00,29.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
234,2025-06-17 03:00:00,28.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
235,2025-06-17 04:00:00,26.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
236,2025-06-17 05:00:00,25.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
237,2025-06-17 06:00:00,25.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
238,2025-06-17 07:00:00,31.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
239,2025-06-17 08:00:00,38.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
240,2025-06-17 09:00:00,41.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
241,2025-06-17 10:00:00,43.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
242,2025-06-17 11:00:00,46.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
243,2025-06-17 12:00:00,47.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
244,2025-06-17 13:00:00,48.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
245,2025-06-17 14:00:00,47.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
246,2025-06-17 15:00:00,47.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
247,2025-06-17 16:00:00,45.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
248,2025-06-17 17:00:00,45.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
249,2025-06-17 18:00:00,43.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
250,2025-06-17 19:00:00,40.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
251,2025-06-17 20:00:00,36.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
252,2025-06-17 21:00:00,33.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
253,2025-06-17 22:00:00,31.2,A. deltoidea,A. deltoidea 1,Cottonwood Creek
254,2025-06-17 23:00:00,29.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
255,2025-06-18 00:00:00,28.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
256,2025-06-18 01:00:00,27.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
257,2025-06-18 02:00:00,25.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
258,2025-06-18 03:00:00,24.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
259,2025-06-18 04:00:00,23.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
260,2025-06-18 05:00:00,22.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
261,2025-06-18 06:00:00,22.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
262,2025-06-18 07:00:00,29.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
263,2025-06-18 08:00:00,38.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
264,2025-06-18 09:00:00,42.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
265,2025-06-18 10:00:00,44.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
266,2025-06-18 11:00:00,47.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
267,2025-06-18 12:00:00,49.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
268,2025-06-18 13:00:00,49.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
269,2025-06-18 14:00:00,50.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
270,2025-06-18 15:00:00,49.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
271,2025-06-18 16:00:00,47.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
272,2025-06-18 17:00:00,45.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
273,2025-06-18 18:00:00,44.8,A. deltoidea,A. deltoidea 1,Cottonwood Creek
274,2025-06-18 19:00:00,41.9,A. deltoidea,A. deltoidea 1,Cottonwood Creek
275,2025-06-18 20:00:00,37.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
276,2025-06-18 21:00:00,34.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
277,2025-06-18 22:00:00,34.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
278,2025-06-18 23:00:00,31.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
279,2025-06-19 00:00:00,29.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
280,2025-06-19 01:00:00,28.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
281,2025-06-19 02:00:00,27.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
282,2025-06-19 03:00:00,26.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
283,2025-06-19 04:00:00,25.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
284,2025-06-19 05:00:00,24.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
285,2025-06-19 06:00:00,24.4,A. deltoidea,A. deltoidea 1,Cottonwood Creek
286,2025-06-19 07:00:00,31.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
287,2025-06-19 08:00:00,39.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
288,2025-06-19 09:00:00,43.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
289,2025-06-19 10:00:00,46.6,A. deltoidea,A. deltoidea 1,Cottonwood Creek
290,2025-06-19 11:00:00,48.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
291,2025-06-19 12:00:00,50.3,A. deltoidea,A. deltoidea 1,Cottonwood Creek
292,2025-06-19 13:00:00,51.1,A. deltoidea,A. deltoidea 1,Cottonwood Creek
293,2025-06-19 14:00:00,49.7,A. deltoidea,A. deltoidea 1,Cottonwood Creek
294,2025-06-19 15:00:00,49.5,A. deltoidea,A. deltoidea 1,Cottonwood Creek
295,2025-06-19 16:00:00,49.0,A. deltoidea,A. deltoidea 1,Cottonwood Creek
